Date,Product,Category,Quantity,Unit_Price,Total_Sales,Cost,Profit,Customer_Type
2025-06-12,Wireless Earbuds,Electronics,24,29.99,719.76,288.00,431.76,Walk-in
2025-06-12,Phone Case,Accessories,28,12.99,363.72,140.00,223.72,Online
2025-06-12,Laptop Stand,Office,9,34.99,314.91,135.00,179.91,Walk-in
2025-06-12,Mouse Pad,Office,22,9.99,219.78,66.00,153.78,Online
2025-06-13,Wireless Earbuds,Electronics,26,29.99,779.74,312.00,467.74,Online
2025-06-13,Power Bank,Electronics,15,24.99,374.85,150.00,224.85,Walk-in
2025-06-13,Bluetooth Speaker,Electronics,13,49.99,649.87,325.00,324.87,Online
2025-06-13,Phone Case,Accessories,30,12.99,389.70,150.00,239.70,Walk-in
2025-06-13,USB Hub,Electronics,14,19.99,279.86,112.00,167.86,Online
2025-06-14,Wireless Earbuds,Electronics,32,29.99,959.68,384.00,575.68,Walk-in
2025-06-14,Phone Case,Accessories,38,12.99,493.62,190.00,303.62,Online
2025-06-14,Bluetooth Speaker,Electronics,16,49.99,799.84,400.00,399.84,Walk-in
2025-06-14,Webcam,Electronics,10,44.99,449.90,200.00,249.90,Online
2025-06-14,Laptop Stand,Office,11,34.99,384.89,165.00,219.89,Walk-in
2025-06-15,Wireless Earbuds,Electronics,35,29.99,1049.65,420.00,629.65,Online
2025-06-15,Power Bank,Electronics,22,24.99,549.78,220.00,329.78,Walk-in
2025-06-15,Phone Case,Accessories,40,12.99,519.60,200.00,319.60,Online
2025-06-15,USB Cable,Electronics,45,7.99,359.55,135.00,224.55,Walk-in
2025-06-15,Screen Protector,Accessories,30,5.99,179.70,60.00,119.70,Online
